link,product_name,Price,discount,error
https://www.amazon.in/gp/product/B0000C73CQ?smid=AJ6SIZC8YQDZX&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=28d22d9a28c32b38603d28ea53eadf86&language=en_IN&ref_=as_li_ss_tl,Fujifilm Instax Mini Picture Format Film (20 Shots),"₹1,399.001,399.00",,
https://www.amazon.in/gp/product/B08527W1MF?smid=AJ6SIZC8YQDZX&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=8afaa29e94b360fce8ae0b3625617545&language=en_IN&ref_=as_li_ss_tl,Fujifilm Instax Mini 11 Instant Camera (Sky Blue),"₹1,399.00",,
https://www.amazon.in/gp/product/B09HRM8R6B?smid=A2Y49FM90AB0VB&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=4578a36d806f4825ee04ff4d26f0d171&language=en_IN&ref_=as_li_ss_tl,"STARTRC Case,Polyurethane (PU) Waterproof Portable Storge Shoulder Bag TravelMate Case for DJI Osmo Mobile 6 Gimbal Stabilizer",₹900.00900.00,-55%,
https://www.amazon.in/gp/product/B0DCJSVN1Z?smid=A3P8ZB1ILSUDV&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=337ef85dbddce7b0291865065ebcb342&language=en_IN&ref_=as_li_ss_tl,"GRENARO P10 Wireless Mic for Youtubers with 3-Level Noise Reduction, Mic for YouTube with 40H Charging Case, Mike for YouTube Channel,mic Wireless Compatible with Devices Featuring Type-C Ports","₹2,099.002,099.00",-48%,
https://www.amazon.in/gp/product/B0CM9P5CCK?smid=A28KGDTB760OU9&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=1e5bed101fa6774717f714377161be61&language=en_IN&ref_=as_li_ss_tl,"Audio Array AM-W17 Dual Wireless Lapel Mic|in-Built ANC, Plug N Play,Long Battery Life, Ultra-Low Latency,Upto 30M Range|Compatible with iPhone & Android|Vlogging, Streaming, Teaching,YouTube, Black","₹1,849.001,849.00",-63%,
https://www.amazon.in/Fujifilm-Instax-Instant-Fuji-Cameras/dp/B00R1P3B4O?pd_rd_w=wMzXi&content-id=amzn1.sym.7edc8fe7-49c8-4837-acf4-779a8e8647e2&pf_rd_p=7edc8fe7-49c8-4837-acf4-779a8e8647e2&pf_rd_r=FY7JYB4MQEF2JX6PVTWT&pd_rd_wg=yRPkc&pd_rd_r=cc7b71fc-5cc4-4fd7-a461-f7aa86521680&pd_rd_i=B00R1P3B4O&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=fe8b04e04d82ef64b65e19dd977ce78a&language=en_IN&ref_=as_li_ss_tl,Fujifilm Instax Mini Single Pack 10 Sheets Instant Film for Fuji Instant Cameras,₹699.00699.00,-13%,
https://www.amazon.in/Motul-3000-4T-Plus-Engine/dp/B01IDHD7PQ?pd_rd_w=wMzXi&content-id=amzn1.sym.7edc8fe7-49c8-4837-acf4-779a8e8647e2&pf_rd_p=7edc8fe7-49c8-4837-acf4-779a8e8647e2&pf_rd_r=FY7JYB4MQEF2JX6PVTWT&pd_rd_wg=yRPkc&pd_rd_r=cc7b71fc-5cc4-4fd7-a461-f7aa86521680&pd_rd_i=B01IDHD7PQ&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=870538fa18e1f37da76124f9fb87f483&language=en_IN&ref_=as_li_ss_tl,Motul 3000 4T Plus 20W40 API SN HC Tech Engine Oil for Bikes (1 L),₹339.00339.00,-25%,
https://www.amazon.in/Castrol-Activ-Synthetic-Scooter-Gear/dp/B0BL1RP9RX?pd_rd_w=wMzXi&content-id=amzn1.sym.7edc8fe7-49c8-4837-acf4-779a8e8647e2&pf_rd_p=7edc8fe7-49c8-4837-acf4-779a8e8647e2&pf_rd_r=FY7JYB4MQEF2JX6PVTWT&pd_rd_wg=yRPkc&pd_rd_r=cc7b71fc-5cc4-4fd7-a461-f7aa86521680&pd_rd_i=B0BL1RP9RX&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=5e785e07b6fcdb9dd1624060edb5c7be&language=en_IN&ref_=as_li_ss_tl,Castrol Activ 10W-30 4-AT Synthetic Engine Oil for Scooter 800 ML & Castrol Gear Oil 80W-90 for Scooter Gears 120 ML Combo Pack,₹419.00419.00,,
https://www.amazon.in/dp/B0CGVLW9MN?_encoding=UTF8&ie=UTF8&psc=1&sp_csd=d2lkZ2V0TmFtZT1zcF9yaGZfY2FydA%3D%3D&sp_cr=DUB&pd_rd_w=Ee2V8&content-id=amzn1.sym.b663b75f-5bca-4822-b9eb-8c6f99176ac3&pf_rd_p=b663b75f-5bca-4822-b9eb-8c6f99176ac3&pf_rd_r=FY7JYB4MQEF2JX6PVTWT&pd_rd_wg=yRPkc&pd_rd_r=cc7b71fc-5cc4-4fd7-a461-f7aa86521680&linkCode=ll1&tag=afficartzone-21&linkId=1ea971787a064acfb7c6cea65149be35&language=en_IN&ref_=as_li_ss_tl,"Digitek® DWM 105 2 in 1 Wireless Microphone System with ANC Mode, 50m Wireless Range, 6-Hour Working Time, Plug & Play Auto Pairing, Compatible with Android & iOS for Broadcasting & Audio Recording","₹2,699.002,699.00",-46%,
https://www.amazon.in/Fujifilm-Instax-Happiness-Shots-Purple/dp/B0C9ZQZ8PH?pd_rd_w=Kgcph&content-id=amzn1.sym.f8d8b87f-14aa-4c03-ad0d-380a0108b532&pf_rd_p=f8d8b87f-14aa-4c03-ad0d-380a0108b532&pf_rd_r=JRNKSDAS3XHT9321MST1&pd_rd_wg=593X8&pd_rd_r=e904906e-c072-4fb3-ada7-8e36df7a3c28&pd_rd_i=B0C9ZQZ8PH&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=d5d738e81aac2955ebec969811ebc1b6&language=en_IN&ref_=as_li_ss_tl,Fujifilm Instax Mini 12 Happiness Box with 40 Shots- Purple,"₹7,999.00",,
