link,product_name,price,discount,error,scraped_at
https://www.amazon.in/Casio-G-Shock-GA-2100RW-1ADR-Analog-Digital-Multicolour/dp/B0DLBH8CBZ?crid=1MUO57FCK29HV&dib=eyJ2IjoiMSJ9.UVRgbjbNDiGzPuk8t8DRWbkJmSy9Lmjp-Gsflv3D9dT1Z-HGwm_tWL-IrF4axPkxNPUlo6OdfbkVeX4GPMnlmvMygknW43vQgC0L4byptXq6KKFhDTMG7i2o0FYesFskRDJ9ktx8XSi6wtBc4SX4hvSR7WWYaHgOJlm7y0TeixL8Qax-JQ6rUu5zaIfYi6Q1lxSLje81bbkHxS48a_1JE0VsfFoZglocQZ737WsI2GHooRrnmmzSWPBjVjnCPJySai42uekBmv9wjMm41h4y1Ge_lPtKcD5oS--FmhZLVnQ.qPk82BAIIdZ7HBNlkQg-z-zAbNNRTbCYo08oA_2uQY8&dib_tag=se&keywords=men+watches+branded&qid=1756094955&sprefix=men+%2Caps%2C261&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&linkCode=ll1&tag=priceswoop04-21&linkId=607a23f324cfc31a588890a44332a7ed&language=en_IN&ref_=as_li_ss_tl,Casio G-Shock GA-2100RW-1ADR Analog-Digital Multicolour Dial Men (G1596),"₹9,995.009,995.00",,,2025-12-06 14:26:53
https://www.amazon.in/OLEVS-Chronograph-Stainless-Resistant-Luxury/dp/B07WGVZVTQ?crid=1MUO57FCK29HV&dib=eyJ2IjoiMSJ9.UVRgbjbNDiGzPuk8t8DRWbkJmSy9Lmjp-Gsflv3D9dT1Z-HGwm_tWL-IrF4axPkxNPUlo6OdfbkVeX4GPMnlmvMygknW43vQgC0L4byptXq6KKFhDTMG7i2o0FYesFskRDJ9ktx8XSi6wtBc4SX4hvSR7WWYaHgOJlm7y0TeixL8Qax-JQ6rUu5zaIfYi6Q1lxSLje81bbkHxS48a_1JE0VsfFoZglocQZ737WsI2GHooRrnmmzSWPBjVjnCPJySai42uekBmv9wjMm41h4y1Ge_lPtKcD5oS--FmhZLVnQ.qPk82BAIIdZ7HBNlkQg-z-zAbNNRTbCYo08oA_2uQY8&dib_tag=se&keywords=men+watches+branded&qid=1756094955&sprefix=men+%2Caps%2C261&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&linkCode=ll1&tag=priceswoop04-21&linkId=9f1badd3a277444bd421a1feb3cf8370&language=en_IN&ref_=as_li_ss_tl,OLEVS chronograph Men's Stainless Steel Watch (Blue Dial Silver Colored Strap),"₹3,040.003,040.00",-15%,,2025-12-06 14:26:38
https://www.amazon.in/Adidas-CGRANI-Running-Shoes-9-CL7631_9/dp/B07M8HLX18?crid=3FPJEQFGZ8OWP&dib=eyJ2IjoiMSJ9.iRe8sKfhFvwNDsV_tAYPXu7E8fmZumjEWsmtvJgaE9L3zQU0fQrAad__CJVNu9ZL3OeoJl9B2dVwzTTbzVs8nWh2PvXC1ID3XSNemvqgI_UEVdVkJI83e-x6fiGjgg5UDnR8mDandqkHZawvXZlE1jnn11fZ2IkdWcMRGcr3eAxPlBzRU6S3zymfP8ILfQY4YD_37d21Iu_gNSG30wCIO-fJxu1qkUrSqfoRrGMNWux4UAaWO-a1ulfy9g0NAQeA36M7S56XheBbkhezUUuyuL4IKYB84l_d_6gJSYXFcvw.nAuLd1CpMhVAODq0t60lzdBnkLlQSvlaCSVkbhNngGY&dib_tag=se&keywords=men+shoes+branded&qid=1756094963&sprefix=men+%2Caps%2C303&sr=8-10&linkCode=ll1&tag=priceswoop04-21&linkId=fdc92a30c2bc118a5189067ab2a1e4d1&language=en_IN&ref_=as_li_ss_tl,adidas Men Drogo M Running Shoe,"₹1,577.001,577.00",-56%,,2025-12-06 14:26:37
https://www.amazon.in/Campus-11G-677-Black-North-Running/dp/B08PRXXQB3?crid=3FPJEQFGZ8OWP&dib=eyJ2IjoiMSJ9.iRe8sKfhFvwNDsV_tAYPXu7E8fmZumjEWsmtvJgaE9L3zQU0fQrAad__CJVNu9ZL3OeoJl9B2dVwzTTbzVs8nWh2PvXC1ID3XSNemvqgI_UEVdVkJI83e-x6fiGjgg5UDnR8mDandqkHZawvXZlE1jnn11fZ2IkdWcMRGcr3eAxPlBzRU6S3zymfP8ILfQY4YD_37d21Iu_gNSG30wCIO-fJxu1qkUrSqfoRrGMNWux4UAaWO-a1ulfy9g0NAQeA36M7S56XheBbkhezUUuyuL4IKYB84l_d_6gJSYXFcvw.nAuLd1CpMhVAODq0t60lzdBnkLlQSvlaCSVkbhNngGY&dib_tag=se&keywords=men+shoes+branded&qid=1756094963&sprefix=men+%2Caps%2C303&sr=8-11&linkCode=ll1&tag=priceswoop04-21&linkId=8cc30a19ea0439414a6526a9c77f6223&language=en_IN&ref_=as_li_ss_tl,Campus Men North Plus Running Shoes,₹999.00999.00,-47%,,2025-12-06 14:00:32
https://www.amazon.in/Allen-Solly-Checkered-Regular-ALSFACUFL08084_Blue/dp/B0FCFD4JYR?crid=5MXA6PMHH2DB&dib=eyJ2IjoiMSJ9.1QzBEHgWOXsZAiSnF39NEB0TywAwmPWegayejSdFEuMj1oE7fZ9NZVZLsFmzs3W0WwlE--4He1-uT85hacqLbcEXBixEBOnXMF0QTArFRZ0yW2xUNHmW9SQTXQx2O6W8L4pkjgcHPj29lEfHM6GX8V-A-gIVYoL5tRWiHzxptpRAk7FEfQfIkq3YHBP7Mh5zAGqL4NluqGjueno-g4MUL8KgOpB3EuHxP4nbeWruikIGu5iym6ieg22jT616zkbB5I6tx-Vgx-NdGMk9Jl0S8kJ2XORri5Mzkj-yVLVD1e0.Sw5Nd0Tjbhlms-kBcgDVdiv70tdthS-hWeHAjDdyanQ&dib_tag=se&keywords=men+shirt+casual&qid=1756094973&sprefix=men+%2Caps%2C397&sr=8-7&linkCode=ll1&tag=priceswoop04-21&linkId=47f5ce520e3c786e6e30d59b1bfcb460&language=en_IN&ref_=as_li_ss_tl,Allen Solly Men Shirt,₹994.00994.00,-50%,,2025-12-06 14:26:38
https://www.amazon.in/U-TURN-Cotton-Solid-Formal-Medium/dp/B0CBX6DJH6?crid=5MXA6PMHH2DB&dib=eyJ2IjoiMSJ9.1QzBEHgWOXsZAiSnF39NEB0TywAwmPWegayejSdFEuMj1oE7fZ9NZVZLsFmzs3W0WwlE--4He1-uT85hacqLbcEXBixEBOnXMF0QTArFRZ0yW2xUNHmW9SQTXQx2O6W8L4pkjgcHPj29lEfHM6GX8V-A-gIVYoL5tRWiHzxptpRAk7FEfQfIkq3YHBP7Mh5zAGqL4NluqGjueno-g4MUL8KgOpB3EuHxP4nbeWruikIGu5iym6ieg22jT616zkbB5I6tx-Vgx-NdGMk9Jl0S8kJ2XORri5Mzkj-yVLVD1e0.Sw5Nd0Tjbhlms-kBcgDVdiv70tdthS-hWeHAjDdyanQ&dib_tag=se&keywords=men%2Bshirt%2Bcasual&qid=1756094973&sprefix=men%2B%2Caps%2C397&sr=8-9&th=1&psc=1&linkCode=ll1&tag=priceswoop04-21&linkId=ed3eec67bc37db5c0994dd82ee47b96a&language=en_IN&ref_=as_li_ss_tl,U-Turn Casual Shirt for Men || Shirt for Men Latest Stylish || Men Stylish Shirt || Men Printed Striped Shirt,₹485.00485.00,-70%,,2025-12-06 14:27:28
https://www.amazon.in/Sparx-Mens-White-Sneaker-SD0734G/dp/B09PVFJ2P4?crid=3QI6WVNMOZHBI&dib=eyJ2IjoiMSJ9.M7lbzWh30hoR6eW8zFz7t6-8GteTzkVUrMEficRZ_hhxLnIp_FSvFMj7t_Iu4BgvF6idbLORZiR7vMBukUrdiG4myJ11mKywbwendudgrM9J0vx_8oa_EoETgOzZstY_qOJLRzeV4ZFT0Lsn1ty8z0OXBZEs-6DDOalSjpQQuOe4Z2xASVyHhdT7iUH2N3WCPTOQsB86P8W78I98_DpFQH5l6er_oGNWdIwW4_RVl04JNZEVk6y_nQdMNllm179DGJgjAAMr9RYUAc3z6KtZ_ecquJKlMrJuUgYdCEaWy08.Ae21Jgk6QDdbzhz-QzXP4LJhNChhNf6eKZUtqzEaA10&dib_tag=se&keywords=men+sneakers&qid=1756094986&sprefix=men+%2Caps%2C357&sr=8-8&linkCode=ll1&tag=priceswoop04-21&linkId=736fa2fba4fbcceeb661a15ad61e8f16&language=en_IN&ref_=as_li_ss_tl,,,,Could not find title or price. Page layout may be unexpected.,2025-12-06 14:29:48
https://www.amazon.in/Organizer-Suitcase-Cosmeticse-Electronic-Underwear/dp/B0CWTTSSBT?content-id=amzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%3Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07&crid=1KR1F4WR52FVB&cv_ct_cx=men%2Bessentials&keywords=men%2Bessentials&pd_rd_i=B0CWTTSSBT&pd_rd_r=f7283c5a-e33a-4da0-8244-6eb6d7ea11fc&pd_rd_w=xACwv&pd_rd_wg=XDRf0&pf_rd_p=739e670d-dfb3-4be0-9815-d8c5c0372e07&pf_rd_r=SKSMCZ9C6F8PZSMT21J9&qid=1756095007&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=men%2Be%2Caps%2C310&sr=1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1&linkCode=ll1&tag=priceswoop04-21&linkId=8435343dbcd7bf9d0699fc3c628eef05&language=en_IN&ref_=as_li_ss_tl,"9pcs Set Travel Organizer Packing Cubes Lightweight Travel Luggage Organizers with Laundry Bag or Toiletry Bag Laundry Organiser (Grey, 9 PCS)",₹719.00719.00,-71%,,2025-12-06 14:27:28
https://www.amazon.in/Travel-Likes-Shoe-Bag-Multipurpose/dp/B0DJSP3DV5?content-id=amzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%3Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07&crid=1KR1F4WR52FVB&cv_ct_cx=men%2Bessentials&keywords=men%2Bessentials&pd_rd_i=B0DJSP3DV5&pd_rd_r=f7283c5a-e33a-4da0-8244-6eb6d7ea11fc&pd_rd_w=xACwv&pd_rd_wg=XDRf0&pf_rd_p=739e670d-dfb3-4be0-9815-d8c5c0372e07&pf_rd_r=SKSMCZ9C6F8PZSMT21J9&qid=1756095007&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=men%2Be%2Caps%2C310&sr=1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1&linkCode=ll1&tag=priceswoop04-21&linkId=ae5ae64d9aab8a50aa9bac29d5bceda9&language=en_IN&ref_=as_li_ss_tl,"Travel Likes Me Shoe Bag - Travel Accessories for Travelling, Waterproof Organizer Pouch with Zip, Essentials for Women and Men, Multipurpose Storage, Carry Shoes and Packing Sacks (Dark Blue)",₹409.00409.00,-37%,,2025-12-06 14:27:43
https://www.amazon.in/Water-Resistant-Compartments-Toiletries-Essentials-Pouch-Blue/dp/B00S6JCFB4?content-id=amzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%3Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07&crid=1KR1F4WR52FVB&cv_ct_cx=men%2Bessentials&keywords=men%2Bessentials&pd_rd_i=B00S6JCFB4&pd_rd_r=f7283c5a-e33a-4da0-8244-6eb6d7ea11fc&pd_rd_w=xACwv&pd_rd_wg=XDRf0&pf_rd_p=739e670d-dfb3-4be0-9815-d8c5c0372e07&pf_rd_r=SKSMCZ9C6F8PZSMT21J9&qid=1756095007&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=men%2Be%2Caps%2C310&sr=1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1&linkCode=ll1&tag=priceswoop04-21&linkId=0e2f0db7b87a0f4f5a73eebca7906905&language=en_IN&ref_=as_li_ss_tl,"Swiss Military Unisex 5L Water-Resistant Toiletry Bag for Travel with Multiple Compartments, Quick Access Pocket, Durable Zippers, Organizer for Toiletries, Makeup and Essentials Pouch-Blue",₹909.00909.00,-30%,,2025-12-06 14:28:20
